zone,state,lga,sector,ea,hhid,shock_cd,shock_other,s12q0,s12q1,s12q2,s12q3,s12q4a,s12q4b,s12q5_1,s12q5_2,s12q5_3,s12q5_4,s12q5_os,s12q6
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,24. Increase in price of major food items usually consumed by the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,25. Increase in price of oil and fuel,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10001,96. Other (specify),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,1. Floods,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,3. Droughts,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,4. Fire,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,16. Loss of land,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,20. Domestic violence,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,24. Increase in price of major food items usually consumed by the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,25. Increase in price of oil and fuel,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10002,96. Other (specify),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,1. Floods,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,3. Droughts,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,4. Fire,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,"15. Nonfarm Business closure, failure or bankruptcy",,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,16. Loss of land,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,17. Theft/looting of cash and other property,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,18. Hijacking/robbery/assault of a household member,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,19. Kidnapping/Abduction for ransom,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,20. Domestic violence,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,"21. Withdraw of assistance (government, NGO, or other organizations)",,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,23. Fall in the price of farming/business output,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,24. Increase in price of major food items usually consumed by the household,,1,1. YES,1,1. 2023,2. NO,2. NO,22. DID NOTHING,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,25. Increase in price of oil and fuel,,1,1. YES,1,2. 2024,2. NO,2. NO,27. USED MORE PUBLICÂ TRANSPORTATION,17. RELIED ON SAVINGS,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,1,1. YES,2,2. 2024,2. NO,2. NO,22. DID NOTHING,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,27. Shortage/scarcity of petrol,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,28. Dwelling/farm buildings/business facilities damaged or demolished,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10004,96. Other (specify),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,1. Floods,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,3. Droughts,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,4. Fire,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,16. Loss of land,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,20. Domestic violence,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,24. Increase in price of major food items usually consumed by the household,,2,1. YES,2,2. 2024,2. NO,2. NO,25. REDUCED PURCHASE QUANTITY COMPARED TO THE PAST,17. RELIED ON SAVINGS,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,25. Increase in price of oil and fuel,,2,1. YES,1,2. 2024,2. NO,2. NO,22. DID NOTHING,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,1. YES,1,2. 2024,2. NO,2. NO,22. DID NOTHING,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10005,96. Other (specify),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,1. Floods,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,3. Droughts,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,4. Fire,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,16. Loss of land,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,20. Domestic violence,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,24. Increase in price of major food items usually consumed by the household,,2,1. YES,3,2. 2024,1. YES,2. NO,27. USED MORE PUBLICÂ TRANSPORTATION,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,25. Increase in price of oil and fuel,,2,1. YES,2,2. 2024,1. YES,2. NO,22. DID NOTHING,,,,,4. DIDNâ€™T KNOW WHAT TO DO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,1. YES,3,2. 2024,1. YES,2. NO,22. DID NOTHING,,,,,1. DIDN'T HAVE THE RESOURCES TO DO ANYTHING
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10008,96. Other (specify),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,1. Floods,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,2. Irregular rains (including unexpected variation in timing and rainfall amount),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,3. Droughts,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,4. Fire,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,5. Very high temperatures (&gt;40Â°C),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,6. Pests and Plant Diseases,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,7. Death of livestock due to illness,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,8. Post Harvest Loss,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,9. Death of a household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,10. Diseases or injury of household member (including all causes),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,11. Stopped receiving remittances sent to the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,12. Loss of a regular job of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,"13. Departure of a household member (Abandonment, separation, marriage)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,14. Loss of an important contract or default by a creditor,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,"15. Nonfarm Business closure, failure or bankruptcy",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,16. Loss of land,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,17. Theft/looting of cash and other property,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,18. Hijacking/robbery/assault of a household member,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,19. Kidnapping/Abduction for ransom,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,20. Domestic violence,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,"21. Withdraw of assistance (government, NGO, or other organizations)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,22. Increase in price of farming/business inputs (excluding petrol and other fuels),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,23. Fall in the price of farming/business output,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,24. Increase in price of major food items usually consumed by the household,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,25. Increase in price of oil and fuel,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,"26. Increase in prices of other fuels (excluding petrol) (e.g. cooking gas, kerosene, firewood, charcoal)",,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,27. Shortage/scarcity of petrol,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,28. Dwelling/farm buildings/business facilities damaged or demolished,,2,2. NO,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,0,10009,96. Other (specify),,2,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,1. Floods,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,2. Irregular rains (including unexpected variation in timing and rainfall amount),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,3. Droughts,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,4. Fire,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,5. Very high temperatures (&gt;40Â°C),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,6. Pests and Plant Diseases,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,7. Death of livestock due to illness,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,8. Post Harvest Loss,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,9. Death of a household member (including all causes),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,10. Diseases or injury of household member (including all causes),,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,11. Stopped receiving remittances sent to the household,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,12. Loss of a regular job of a household member,,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,"13. Departure of a household member (Abandonment, separation, marriage)",,1,2. NO,,,,,,,,,,
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,670,10010,14. Loss of an important contract or default by a creditor,,1,2. NO,,,,,,,,,,
