zone,state,lga,sector,ea,hhid,cluster,strata,wt_wave5,wt_longpanel_wave5,wt_cross_wave5,interview_result,old_new,trackedw4,trackedw5pp,hh_located,hh_moved,hh_able_toint,rspavl,consent,InterviewStart,ag1,ag1a,ag1b__1,ag1b__2,ag1b__3,ag1b__4,ag1b__5,ag1c_1,ag1c_2,ag1c_3,ag1c_os,ag2,ag3,ag4
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10033,111-1146,4,5383.6845703125,22161.2265625,6438.630558177804,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T12:18:58,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10034,111-1146,4,5118.501953125,39396.71875,6239.8471099038525,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T13:39:18,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10035,111-1146,4,5155.34130859375,22486.490234375,8195.817065765657,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T13:37:14,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,,2. NO,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10036,111-1146,4,4999.5458984375,24644.453125,5794.415934827293,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T15:37:02,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10037,111-1146,4,5383.6845703125,24745.431640625,7423.54836219179,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T13:25:43,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,111. OSISIOMA,1. URBAN,1146,10038,111-1146,4,4999.5458984375,25014.91015625,9372.657565753447,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T11:40:28,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,1. YES,2. NO,2. NO
4. South East,4. Anambra,409. IDEMILI NORTH,2. RURAL,0,10039,111-1146,4,,,,8. ALL HH MEMBERS DECEASED,1. Old Panel household,1. YES,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,2. NO,,,,,,,,,,,,,,,,
5. South South,10. Delta,1015. OSHIMILI SOUTH,1. URBAN,0,10040,111-1146,4,6872.54248046875,21982.384765625,10598.505120040742,1. COMPLETE,1. Old Panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-15T14:21:42,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10051,102-1690,4,3574.562744140625,22835.068359375,4423.40811576828,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-01T10:15:40,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,2. NO,2. NO,2. NO
4. South East,14. Enugu,1412. NKANU WEST,2. RURAL,0,10052,102-1690,4,,,6862.79189817522,1. COMPLETE,1. Old Panel household,1. YES,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-09-07T11:41:40,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,1. YES,1. NO LONGER OWN LAND,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10053,102-1690,4,3828.626953125,15620.173828125,4910.897352883819,1. COMPLETE,1. Old Panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-10T11:59:53,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10054,102-1690,4,3804.1123046875,14374.8486328125,4708.853253928132,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-02T11:38:11,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,2. NO,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,0,10055,102-1690,4,3685.95263671875,22835.068359375,5268.775265699932,1. COMPLETE,1. Old Panel household,1. YES,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T12:41:58,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10056,102-1690,4,3828.626953125,24402.1484375,4772.17107597205,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-08-02T10:51:43,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10057,102-1690,4,3574.562744140625,14585.830078125,4257.010398803892,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-01T10:03:01,2. NO,2. NO,,,,,,10. POOR SOILS QUALITY MAKING LAND UNSUITABLE FOR GROWING CROPS,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10058,102-1690,4,3685.95263671875,16103.9033203125,5148.79057320041,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-01T10:13:43,2. NO,2. NO,,,,,,13. SWITCHED TO OTHER INCOME GENERATING ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,115. UMUAHIA NORTH,1. URBAN,0,10059,102-1690,4,3804.1123046875,19988.2734375,6328.22898061143,1. COMPLETE,1. Old Panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-13T14:00:32,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,1690,10060,102-1690,4,3659.61328125,14792.9306640625,5332.783120171439,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-01T14:41:06,2. NO,2. NO,,,,,,16. THE HOUSEHOLD HAS NEVER BEEN ENGAGED IN AGRICULTURAL ACTIVITIES,,,,2. NO,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10061,107-1044,4,3131.96923828125,18433.38671875,2534.9283266215643,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T10:46:41,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10062,107-1044,4,3382.10791015625,19224.1015625,4106.26253452267,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T10:37:12,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10063,107-1044,4,3232.805908203125,17201.255859375,3184.982586568902,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T08:25:42,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10064,107-1044,4,3157.67431640625,14197.650390625,4080.2848107832206,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T12:09:54,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,106. ISIALANGWA NORTH,1. URBAN,0,10065,107-1044,4,3131.96923828125,14090.916015625,3159.52824008678,1. COMPLETE,1. Old Panel household,1. YES,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-15T12:58:17,2. NO,2. NO,,,,,,6. NOT ENOUGH TIME/LABOR/HELP TO CULTIVATE,7. COST OF INPUTS TOO HIGH,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10066,107-1044,4,3256.0732421875,13557.3544921875,3942.019375707214,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-18T16:58:25,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10067,107-1044,4,3157.67431640625,15227.0185546875,3159.52824008678,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T09:19:39,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,114. UKWA WEST,2. RURAL,0,10068,107-1044,4,3131.96923828125,14658.59375,3178.735895523492,1. COMPLETE,1. Old Panel household,2. NO,1. YES,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-10-12T12:16:15,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,1044,10069,107-1044,4,3256.0732421875,16715.109375,2837.624252186452,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-17T10:46:32,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,107. ISIALANGWA SOUTH,2. RURAL,0,10070,107-1044,4,3131.96923828125,10795.177734375,3895.4117997524177,1. COMPLETE,1. Old Panel household,1. YES,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-19T07:52:57,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10071,117-560,4,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T13:54:39,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10072,117-560,4,2245.217041015625,23994.90625,3657.4938174939966,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T10:53:42,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10073,117-560,4,2245.217041015625,24737.986328125,4284.227858035874,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T13:00:57,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10074,117-560,4,2417.727783203125,23994.90625,5569.134742973888,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T12:25:52,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10075,117-560,4,2389.3994140625,28367.984375,4726.898958640662,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T14:59:31,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10076,117-560,4,2389.3994140625,19846.271484375,5436.069477542836,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T12:37:52,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10077,117-560,4,3086.350341796875,22780.58203125,5891.4257501225275,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T12:08:43,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10078,117-560,4,3086.350341796875,18852.498046875,4115.222913754705,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T11:07:00,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10079,117-560,4,2404.79736328125,22780.58203125,5436.069477542836,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T14:16:08,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,HEALTH CHALLENGES,1. YES,2. NO,2. NO
4. South East,1. Abia,117. UMUNNEOCHI,2. RURAL,560,10080,117-560,4,2315.182373046875,19993.16015625,3560.4903500798755,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-29T11:03:18,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10091,105-638,4,1881.65478515625,18820.423828125,4171.448878346041,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T15:40:21,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10092,105-638,4,2015.39453125,10580.140625,4267.8120349639885,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T14:57:36,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
5. South South,3. Akwa Ibom,322. OBOT AKARA,2. RURAL,0,10093,105-638,4,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,1. Old Panel household,1. YES,1. YES,2. NO,,,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10094,105-638,4,1881.65478515625,13016.8134765625,2541.785503420479,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-08T10:07:43,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10096,105-638,4,2026.231201171875,15790.6865234375,3502.0923156989074,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T16:21:22,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10097,105-638,4,1940.2906494140625,16890.853515625,4428.972180470589,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T15:03:11,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10098,105-638,4,,,,4. UNABLE TO IDENTIFY HOUSEHOLD,1. Old Panel household,2. NO,1. YES,1. YES,"3. YES, MOVED FAR FROM ORIGINAL DWELLING",,,,,,,,,,,,,,,,,,
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10099,105-638,4,2015.39453125,20335.125,4345.251619221599,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T15:09:01,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,105. IKWUANO,2. RURAL,638,10100,105-638,4,2015.39453125,12259.27734375,3277.088906651513,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-07T15:40:03,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10102,108-904,4,7557.81005859375,34809.73046875,7169.665764643977,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T12:56:00,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10103,108-904,4,5669.384765625,27030.548828125,4752.459518196349,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T16:38:31,1. YES,2. NO,,,,,,,,,,1. YES,1. YES,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10104,108-904,4,5669.384765625,46779.953125,7169.665764643977,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T13:32:35,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10105,108-904,4,5453.29833984375,26266.60546875,5946.109032988098,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T13:56:06,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10106,108-904,4,5628.87255859375,32925.2265625,8911.424630862992,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T15:31:53,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,1. YES,1. YES
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10107,108-904,4,5498.05517578125,33552.953125,7371.735538043326,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T14:48:10,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10108,108-904,4,5453.29833984375,44948.30078125,5550.174144011581,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T16:48:50,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10109,108-904,4,5669.384765625,31636.05078125,5194.149333780954,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-11T11:47:51,1. YES,2. NO,,,,,,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,108. ISIUKWUATO,2. RURAL,904,10110,108-904,4,5498.05517578125,39990.71484375,4257.582718877827,1. COMPLETE,1. Old Panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-08-10T13:39:21,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19001,102-46,4,4004.96142578125,,4570.625689838771,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"1. YES, MOVED CLOSE TO ORIGINAL DWELLING",1. YES,1. YES,1. YES,2023-09-01T14:40:37,2. NO,2. NO,,,,,,96. OTHER (SPECIFY),,,,1. YES,2. NO,2. NO
4. South East,1. Abia,102. ABA SOUTH,1. URBAN,46,19002,102-46,4,4004.96142578125,,3125.5192272130025,1. COMPLETE,2. New panel household,2. NO,2. NO,1. YES,"2. NO, IN ORIGINAL DWELLING",,1. YES,1. YES,2023-09-01T12:46:37,2. NO,2. NO,,,,,,1. NO LONGER OWN LAND,12. CLIMATIC CONDITIONS/WEATHER ARE BAD FOR GROWING CROPS,,,1. YES,2. NO,2. NO
